age,annual_income,loan_amount,credit_score,employment_type,existing_loans,loan_term_months,missed_payments_last_year,defaulted
25,893005.0,646701.0,330,Salaried,0,48,1,0
46,539197.0,573504.0,444,Business,0,12,0,1
24,525648.0,645354.0,526,Salaried,1,36,1,1
40,394373.0,382417.0,848,Business,2,60,0,1
44,399735.0,706151.0,797,Salaried,1,36,0,0
60,690442.0,110518.0,463,Salaried,0,36,0,0
49,518677.0,630297.0,892,Business,0,60,0,0
35,839048.0,385665.0,872,Self-Employed,0,36,1,0
44,686795.0,488384.0,381,Salaried,2,36,1,0
29,363147.0,216838.0,708,Business,1,12,0,0
46,469892.0,502229.0,334,Salaried,0,12,1,1
63,456906.0,579059.0,321,Business,3,36,2,1
47,599401.0,318227.0,619,Salaried,0,12,0,0
29,555963.0,348204.0,805,Self-Employed,0,12,0,0
60,538174.0,115468.0,871,Salaried,4,48,2,0
59,1133034.0,427361.0,451,Self-Employed,1,24,1,0
25,993051.0,252898.0,694,Salaried,0,48,0,0
28,587285.0,554660.0,478,Business,0,48,0,1
21,1138696.0,538188.0,755,Salaried,0,24,0,0
32,718239.0,433037.0,522,Salaried,1,60,1,0
27,377692.0,365737.0,688,Salaried,2,48,0,1
40,320664.0,724650.0,814,Business,2,12,2,1
26,347910.0,441601.0,453,Salaried,1,12,0,1
45,418709.0,731909.0,457,Salaried,0,12,0,1
21,571737.0,420487.0,452,Self-Employed,3,48,0,0
55,471814.0,466187.0,342,Salaried,2,24,0,1
30,908281.0,223249.0,681,Self-Employed,1,60,0,0
35,298530.0,196784.0,337,Business,1,12,2,0
59,807274.0,50000.0,616,Salaried,1,36,1,0
25,467375.0,677704.0,868,Business,2,36,1,1
30,649751.0,160695.0,400,Salaried,1,36,1,0
44,525017.0,50000.0,575,Self-Employed,2,24,1,1
56,916934.0,451779.0,563,Self-Employed,1,24,0,0
24,438421.0,295454.0,812,Salaried,0,36,3,0
29,330314.0,187805.0,408,Salaried,2,36,0,1
